번호,카테고리,본문,링크포함,글자수,메모
1,빌더 일지,"한능검 보는 친구한테 줄려고 사이트를 직접 만들었습니다.
87시대 요약노트 + 38회분 1,900문제 + AI 해설.
배포 후 GA4 보니까 첫 주에 진짜 N명이 들어왔어요.
작은 시작이지만 한 명이라도 도움 받았다면 그걸로 됐다 싶어요.

→ gcnote.co.kr",Y,149,
2,빌더 일지,"오늘 작업: 카드뉴스 자동발행 시스템 완성.
요약노트 → 6장 카드뉴스 → 인스타 캐러셀로 자동 업로드.
이제 한능검 콘텐츠가 매일 한 장씩 자동으로 나갑니다.
87일치 미리 만들어두니까 마음이 편함.",,112,
3,빌더 일지,"왜 한능검 사이트를 만들었냐면.
시험 직전에 자료 찾다가 너무 답답했음.
회차별 풀고싶은데 PDF만 있고, 시대별 요약은 블로그마다 흩어져있고, 영상 해설은 또 따로 봐야 하고.
그래서 한 곳에 다 있게 직접 만들었습니다.

→ gcnote.co.kr",Y,140,
4,빌더 일지,"매일 한 페이지씩 SEO 점검 중.
어제는 노트 페이지에 Article JSON-LD + VideoObject 스키마 추가.
구글이 좀 더 잘 이해하겠지.
하루 한 가지 작은 개선이라도 쌓이면 큰 차이가 난다고 믿습니다.",,123,
5,빌더 일지,"한능검 사이트 1인 운영 4개월 차.
코드도, 콘텐츠도, 마케팅도 다 혼자.
가끔 외로울 때 있는데 어느 날 ""이거 진짜 도움됐어요"" 댓글 하나 달리면 일주일 텐션 충전됨.",,96,
6,빌더 일지,"한능검 노트 87편을 어떻게 만들었냐.
처음엔 직접 정리하다가 도저히 못 따라가서 AI한테 초안 시키고 다 검수했어요.
한 달 걸렸음. 그래도 결과물은 만족스럽습니다.

→ gcnote.co.kr/notes",Y,115,
7,빌더 일지,"오늘의 발견:
사용자가 가장 오래 머무는 페이지가 '오답노트'.
정답 다시 보는 게 아니라, 틀린 걸 다시 곱씹는 데서 진짜 학습이 일어나나봐요.
이건 데이터 안 보면 모르는 거.",,100,
8,빌더 일지,"Vercel 무료 플랜으로 사이트 운영 중인데, 트래픽 늘어나면서 슬슬 한계.
다음 달부턴 Pro로 가야할 듯. 월 만원 추가.
그래도 광고 없이 운영하는 게 목표라 일단은 버틴다.",,101,
9,빌더 일지,"오늘 사이트에 인스타 자동발행 기능 붙였어요.
카드뉴스 6장 만들면 한 번 클릭으로 인스타 캐러셀 업로드.
Meta API 토큰 발급이 제일 어려웠음. 진짜 욕 나옴.",,93,
10,빌더 일지,"한능검 AI 해설은 어떻게 만들었냐.
회차별 문제 → Gemini로 해설 초안 → 내가 검수.
1,900문제 다 돌리는데 이틀, AI 비용은 ~$30 정도.
콘텐츠 비용 진심 미쳤다 싶었음.",,106,
11,빌더 일지,"1인 개발자 정신건강 팁:
매주 금요일 오후엔 무조건 GA4 켜고 사용자 활동 보기.
숫자가 작아도 누군가 지금 이 순간 내 사이트에서 공부 중.
그게 다음 한 주의 동력.",,96,
12,빌더 일지,"다음에 만들 거: '내 약점 분석' 기능.
회차별 점수 + 시대별 정답률로 ""이 사람 조선 후기에 약함"" 자동 진단.
원래 학원 선생님이 하던 걸 데이터로 자동화하는 게 목표.",,98,
13,빌더 일지,"한능검 + 9급 공무원 한국사 + 7급 한국사.
출제 풀이가 사실상 같은데, 사이트엔 한능검만 있어요.
이번 분기 안에 공무원 한국사 추가 예정.
다음은 국어·영어. 한 곳에서 9급 시험 다 풀 수 있게 만드는 게 목표.",,123,
14,빌더 일지,"오늘 자랑:
4개월 전엔 SEO 0점이었는데 지금은 구글에서 '한능검 77회' 1페이지 진입.
대단한 노력 없이 그냥 매일 한 줄씩 텍스트 늘렸을 뿐.
SEO는 인내. 진짜.",,97,
15,빌더 일지,"한능검 사이트 만들면서 배운 것:
1) 사용자는 글 안 읽음. 표·그림이 답
2) 광고 안 넣어도 어떻게든 굴러감
3) 모바일이 80%, 데스크톱은 사이드
4) 검색 유입이 SNS보다 훨씬 큼

→ gcnote.co.kr",Y,123,
16,한국사 한 입,"병인양요(1866) vs 신미양요(1871) 한 줄 차이.
병인 = 프랑스, 외규장각 약탈.
신미 = 미국, 어재연 광성보 전사 + 수자기 빼앗김.
둘 다 흥선대원군 시기, 척화비 건립의 빌미.
헷갈리면 '병인=불(佛=프랑스), 신미=미(美국)'.",,138,
17,한국사 한 입,"고려 때 '응방' 들어봤어요?
매(鷹) 사육하던 부서.
원 간섭기에 몽골에 매 바치려고 만든 기관.
별거 아닌 단어 같은데 한능검 단골 출제.
외워둘 것.",,86,
18,한국사 한 입,"조선 4대 사화 시기 외우는 법.
무오(1498) → 갑자(1504) → 기묘(1519) → 을사(1545).
6년·15년·26년 간격.
그냥 '무·갑·기·을' 한 묶음으로 외워.",,100,
